accuracy,loss,mean_io_u,val_accuracy,val_loss,val_mean_io_u,learning_rate
0.7532480359077454,1.0246878862380981,0.31579142808914185,0.6396631598472595,0.7559428215026855,0.3032173812389374,0.0010000000474974513
0.8443893194198608,0.610456645488739,0.31579142808914185,0.8841500282287598,0.46813562512397766,0.3032173812389374,0.0010000000474974513
0.9192849397659302,0.3852914571762085,0.31579142808914185,0.9144571423530579,0.3556840717792511,0.3032173812389374,0.0010000000474974513
0.8832847476005554,0.5200928449630737,0.31579142808914185,0.7432419061660767,1.334147334098816,0.3032173812389374,0.0010000000474974513
0.8723949790000916,0.5664318203926086,0.31579142808914185,0.880890965461731,0.5807594060897827,0.3032173812389374,0.0010000000474974513
0.9181258082389832,0.41711097955703735,0.31579142808914185,0.9234903454780579,0.41001835465431213,0.3032173812389374,0.0010000000474974513
0.9095250964164734,0.48131874203681946,0.31579142808914185,0.8445518612861633,0.6489027142524719,0.3032173812389374,0.0010000000474974513
0.9066330194473267,0.5049305558204651,0.31580066680908203,0.8937398791313171,0.4501572549343109,0.3032173812389374,0.0005000000237487257
0.9503921270370483,0.239971324801445,0.31579142808914185,0.9463616609573364,0.23288428783416748,0.3032173812389374,0.0005000000237487257
0.9542157649993896,0.2321072220802307,0.31579142808914185,0.9499880075454712,0.2209557294845581,0.3032173812389374,0.0005000000237487257
0.9632084369659424,0.17667387425899506,0.31579142808914185,0.9541857242584229,0.20536404848098755,0.3032173812389374,0.0005000000237487257
0.9065233469009399,0.560746967792511,0.3213362693786621,0.864288330078125,0.5846534967422485,0.3033846616744995,0.0005000000237487257
0.9320634007453918,0.34138235449790955,0.3161034882068634,0.9420702457427979,0.3269866704940796,0.3032173812389374,0.0005000000237487257
0.9605270624160767,0.18609367311000824,0.31579142808914185,0.963072657585144,0.1651395559310913,0.3032173812389374,0.0005000000237487257
0.9348320960998535,0.35861504077911377,0.3160220682621002,0.934444010257721,0.3133169710636139,0.3032173812389374,0.0005000000237487257
0.9591924548149109,0.20522037148475647,0.31579142808914185,0.9265968203544617,0.3754255771636963,0.3032173812389374,0.0005000000237487257
0.9626462459564209,0.17969413101673126,0.31579142808914185,0.955778956413269,0.19367197155952454,0.3032173812389374,0.0005000000237487257
0.9672672748565674,0.15559829771518707,0.31579142808914185,0.9589454531669617,0.2053002417087555,0.3032173812389374,0.0005000000237487257
